TRANSACTION ID,CARD ID,PS ID,AMOUNT,TRANSACTION DATE,TIME,GROUP ID
ADC950DD-7F4B-4F48-97D3-2E27995B32EA,12563,1003,8000,30,15:44:02,1
9D5B224F-6AE7-4AEE-AF9E-3DC8CDE0C280,12570,1003,5362,9,10:21:59,1
51DC9863-8C62-4C14-B281-AC9EAF51235E,12570,1003,7142,13,15:43:08,1
FBBED3FF-237C-4846-94D2-38AEB5B701FA,12570,1003,8000,23,20:47:38,1
A2845A9E-378D-4284-9837-6D61071ABBBC,25572,1003,7780,1,11:13:13,1
0C430118-9A6E-44DB-8637-6F84393F0C3A,11943,1003,5990,17,00:45:00,1
3ED9AB63-E28D-4806-9E96-08F85B368C52,11951,1003,6000,11,09:29:56,1
30921006-4E2B-4381-B468-A1B46EB61519,12511,1003,7737,9,13:38:24,1
AFFD3124-61B7-423A-B2E3-5578573AA680,12511,1003,7983,6,06:58:11,1
1BC6B213-6943-415F-BF6B-648332CA1FC3,12124,1003,8000,7,20:53:06,1
21B7F760-C59D-429A-BEBA-92F08C3E453E,12570,1019,7949,24,20:34:46,1
F9F8B6E6-4B50-4BD4-97CE-80EDD21A980D,12755,1019,6000,30,15:25:04,1
BC6E1D54-A04A-4D17-BCC1-1F2D4EAC54DD,12829,1019,7184,30,15:26:35,1
A3E0E42E-2A02-401D-92CA-F509EA5F6A65,25430,1019,7382,1,16:28:10,1
DE9FBBDB-5CD7-40FE-8D67-55FBD6C12816,25571,1019,8025,24,22:18:44,1
4E9DD717-A541-4B0F-A542-79EFE5CC7E97,25572,1019,7991,13,07:17:27,1
FCD0135D-D9E0-4BE3-93EF-ABBFB2B28A95,12278,1019,6000,6,21:34:48,1
9CF22154-D2C4-4E7F-BC6D-B66DCB1433CA,12278,1019,8000,29,12:11:42,1
C9502091-26DF-4334-995C-6C20DE2FB493,12278,1019,8000,20,12:45:47,1
AEABDA4F-EEBD-49C4-B0D7-07E62CC07141,12278,1019,6000,5,14:36:45,1
424062A1-49FD-4993-BDB9-5A3981ED4195,12278,1019,7900,10,18:16:25,1
6EC898E9-65AC-4B77-9CE6-6D31BCB1CB75,12278,1019,8000,27,14:29:01,1
38A45B50-AC37-42A8-86BB-5F0EFE030B4A,12278,1019,7897,14,14:16:46,1
D25B98FB-60AA-4E59-A8EF-3F187544A573,12278,1019,8000,16,14:00:03,1
44294355-7A41-4BA1-A30B-952D74672374,12278,1019,2011,8,23:45:04,1
BB336741-92D1-4A7F-B5A9-7AA177343AFA,12278,1019,8000,3,10:34:29,1
A9F1AB19-3CD6-46FD-B991-2FBD34D20131,12278,1019,7961,4,14:25:02,1
4BF949CF-5D7F-4DB2-A212-BA5C643587E7,12278,1019,449,8,23:42:22,1
DB171C7D-1808-4EC7-8735-D5948778045A,12278,1019,3283,8,23:47:58,1
